Item,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
RM-G001.jams,True,True,True,True,True,True
RM-G002.jams,False,True,True,True,True,True
RM-G003.jams,True,True,True,True,False,True
RM-G004.jams,True,True,True,True,True,True
RM-G005.jams,False,True,True,True,True,True
RM-G006.jams,False,True,False,False,True,True
RM-G007.jams,True,True,True,True,True,True
RM-G008.jams,True,True,True,True,True,True
RM-G009.jams,True,True,True,True,True,True
RM-G010.jams,True,False,True,True,True,True
RM-G011.jams,True,False,True,True,False,True
RM-G012.jams,True,True,True,True,False,True
RM-G013.jams,True,True,True,True,True,True
RM-G014.jams,True,True,True,True,True,True
RM-G015.jams,True,True,True,True,True,True
RM-G016.jams,True,True,True,True,True,True
RM-G017.jams,True,True,True,True,True,True
RM-G018.jams,True,True,True,True,True,True
RM-G019.jams,True,True,True,True,True,True
RM-G020.jams,True,True,True,True,True,True
RM-G021.jams,True,False,True,True,True,True
RM-G022.jams,True,True,True,True,True,True
RM-G023.jams,True,True,True,True,True,True
RM-G024.jams,True,True,True,True,True,True
RM-G025.jams,True,True,True,True,True,True
RM-G026.jams,True,True,True,True,True,True
RM-G027.jams,True,True,True,True,True,True
RM-G028.jams,True,True,True,True,True,False
RM-G029.jams,True,True,True,True,True,True
RM-G030.jams,True,True,True,True,True,True
RM-G031.jams,True,True,True,True,True,True
RM-G032.jams,False,False,True,True,False,False
RM-G033.jams,False,True,True,True,True,True
RM-G034.jams,True,True,True,True,True,True
RM-G035.jams,True,True,True,True,True,True
RM-G036.jams,True,True,True,True,True,True
RM-G037.jams,False,False,True,True,False,False
RM-G038.jams,False,True,True,True,True,True
RM-G039.jams,True,True,True,True,False,True
RM-G040.jams,True,True,True,True,True,True
RM-G041.jams,True,True,True,True,False,True
RM-G042.jams,True,True,True,True,True,True
RM-G043.jams,True,False,True,True,False,False
RM-G044.jams,False,True,False,False,True,True
RM-G045.jams,False,True,False,False,True,True
RM-G046.jams,False,False,False,False,False,False
RM-G047.jams,False,False,True,True,False,False
RM-G048.jams,False,False,True,True,False,False
RM-G049.jams,True,True,True,True,True,True
RM-G050.jams,True,False,False,False,True,False
RM-G051.jams,False,True,False,True,True,False
RM-G052.jams,False,False,False,False,False,False
RM-G053.jams,True,True,False,False,True,False
RM-G054.jams,True,True,True,True,True,True
RM-G055.jams,True,True,True,True,True,True
RM-G056.jams,True,False,False,True,True,True
RM-G057.jams,False,True,False,True,False,False
RM-G058_A.jams,False,False,False,False,False,False
RM-G058_B.jams,False,False,False,False,True,False
RM-G058_C.jams,False,False,False,False,False,False
RM-G059.jams,True,True,True,True,True,False
RM-G060.jams,False,False,False,False,False,False
RM-G061.jams,False,False,False,False,False,True
RM-G062.jams,False,True,True,True,True,True
RM-G063.jams,False,False,False,False,False,False
RM-G064.jams,True,False,True,True,False,False
RM-G065.jams,True,False,True,True,False,False
RM-G066.jams,True,True,True,True,False,True
RM-G067.jams,True,True,True,True,False,False
RM-G068.jams,True,False,False,False,False,False
RM-G069.jams,True,True,True,True,True,True
RM-G070.jams,True,True,True,True,True,True
RM-G071.jams,True,False,True,True,True,True
RM-G072.jams,True,True,True,True,True,True
RM-G073.jams,False,False,True,True,True,False
RM-G074.jams,True,True,True,True,True,True
RM-G075.jams,True,True,True,True,False,False
RM-G076.jams,True,True,False,False,True,True
RM-G077.jams,False,False,True,True,False,True
RM-G078.jams,False,True,True,True,True,True
RM-G079.jams,False,False,False,False,False,False
RM-G080.jams,False,True,True,True,True,False
RM-G081.jams,True,True,True,True,True,True
RM-G082.jams,False,True,True,True,True,True
RM-G083.jams,False,True,False,False,False,False
RM-G084.jams,False,True,False,False,True,False
RM-G085.jams,False,False,False,False,False,False
RM-G086.jams,False,False,False,False,True,False
RM-G087.jams,True,False,False,False,True,False
RM-G088.jams,False,False,False,True,True,True
RM-G089.jams,False,False,False,False,False,False
RM-G090.jams,False,False,False,False,True,True
RM-G091.jams,False,False,True,True,True,True
RM-G092.jams,False,True,False,False,True,True
RM-G093.jams,True,True,False,False,False,False
RM-G094.jams,True,True,True,True,True,True
RM-G095.jams,False,False,False,False,False,False
RM-G096.jams,True,True,False,False,True,True
RM-G097.jams,False,False,False,False,False,False
RM-G098.jams,False,False,False,False,False,False
RM-G099.jams,False,True,False,False,False,True
RM-G100.jams,False,True,True,True,True,True
