Item,Reference,Estimate
blues.00008.jams,168.0,83.85
blues.00017.jams,168.0,84.04
blues.00023.jams,92.0,96.82
blues.00029.jams,123.0,63.46
blues.00030.jams,112.0,55.32
blues.00031.jams,112.0,57.06
blues.00033.jams,153.0,76.86
blues.00037.jams,114.0,75.53
blues.00038.jams,126.0,65.1
blues.00042.jams,60.0,179.25
blues.00047.jams,52.0,75.03
blues.00052.jams,50.0,74.96
blues.00056.jams,54.0,80.09
blues.00060.jams,75.0,148.65
blues.00061.jams,66.0,132.02
blues.00064.jams,78.0,156.37
blues.00065.jams,54.0,107.8
blues.00066.jams,81.0,163.87
blues.00067.jams,80.0,162.18
blues.00068.jams,80.0,162.57
blues.00070.jams,74.0,147.17
blues.00071.jams,74.0,147.03
blues.00073.jams,48.0,96.79
blues.00075.jams,60.0,117.57
blues.00076.jams,58.0,116.17
blues.00077.jams,74.0,147.31
blues.00079.jams,79.0,158.44
blues.00081.jams,102.0,205.16
blues.00082.jams,62.0,124.99
blues.00083.jams,66.0,132.79
blues.00086.jams,61.0,122.29
blues.00090.jams,71.0,140.77
blues.00091.jams,62.0,124.73
blues.00093.jams,66.0,58.02
blues.00094.jams,52.0,102.57
classical.00001.jams,38.0,57.21
classical.00005.jams,140.0,69.44
classical.00006.jams,48.0,95.68
classical.00008.jams,136.0,68.05
classical.00012.jams,92.0,45.82
classical.00013.jams,125.0,62.71
classical.00014.jams,148.0,73.56
classical.00016.jams,50.0,98.71
classical.00019.jams,47.0,94.47
classical.00020.jams,140.0,69.99
classical.00021.jams,135.0,67.48
classical.00023.jams,92.0,45.49
classical.00025.jams,133.0,66.2
classical.00028.jams,160.0,80.74
classical.00032.jams,44.0,56.64
classical.00034.jams,52.0,59.82
classical.00036.jams,70.0,45.55
classical.00037.jams,68.0,77.56
classical.00039.jams,69.0,84.79
classical.00041.jams,50.0,45.34
classical.00043.jams,65.0,60.8
classical.00044.jams,64.0,37.1
classical.00047.jams,68.0,35.12
classical.00048.jams,88.0,65.2
classical.00049.jams,140.0,73.54
classical.00051.jams,139.0,68.38
classical.00052.jams,158.0,78.95
classical.00053.jams,77.0,71.4
classical.00054.jams,46.0,94.53
classical.00055.jams,61.0,57.97
classical.00056.jams,40.0,70.9
classical.00057.jams,59.0,79.89
classical.00058.jams,70.0,67.12
classical.00062.jams,94.0,63.31
classical.00065.jams,82.0,123.51
classical.00066.jams,130.0,66.8
classical.00067.jams,91.0,75.9
classical.00070.jams,54.0,80.81
classical.00077.jams,47.0,44.47
classical.00080.jams,60.0,67.73
classical.00083.jams,76.0,79.63
classical.00084.jams,55.0,107.0
classical.00091.jams,92.0,45.05
classical.00094.jams,92.0,85.67
classical.00095.jams,91.0,45.66
classical.00099.jams,43.0,86.59
country.00007.jams,50.0,101.01
country.00011.jams,114.0,56.88
country.00014.jams,138.0,68.84
